molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,385.0,active
CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,8.2,active
CHEMBL50858,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,0.8,active
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1450.0,intermediate
CHEMBL103504,CCC[C@@]1(O)CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C31,18.0,active
CHEMBL101250,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@](C)(O)CN43)cc1,296.0,active
CHEMBL430840,O=C1CN2C3CC[C@@H]2C[C@H](c2ccc(F)cc2)C13,620.0,active
CHEMBL101905,C=C1CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C13,2.2,active
CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,11.0,active
CHEMBL103701,CCCC1C2C3CCN2[C@H](C3)C[C@@H]1c1ccc(C)cc1,109.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,186.0,active
CHEMBL419728,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccc(Cl)cc2)CN43)cc1,23.0,active
CHEMBL102018,Cc1ccc([C@H]2C[C@H]3CCC4C2C(=O)CN43)cc1,110.0,active
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,1261.0,intermediate
CHEMBL116463,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,1140.0,intermediate
CHEMBL115280,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,2810.0,intermediate
CHEMBL115444,O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,3020.0,intermediate
CHEMBL422290,CSCCSCCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(F)cc1)N2C,16.3,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,834.0,active
CHEMBL343369,,7.3,active
CHEMBL331799,CNCC1C2CCC(C2)C1c1ccc2ccccc2c1,45.0,active
CHEMBL113136,CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,44.0,active
CHEMBL322067,CN(C)C[C@@H]1C2CCC(CC2)[C@@H]1c1ccc(Cl)c(Cl)c1,22.0,active
CHEMBL109517,CN(C)C[C@@H]1C2CCC(C2)[C@H]1c1ccc2ccccc2c1,34.0,active
CHEMBL323447,CN(C)CC1C2CCC(C2)C1c1cccc2ccccc12,297.0,active
CHEMBL109571,CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1,45.0,active
CHEMBL111128,CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,28.0,active
CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,25.0,active
CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,51.0,active
CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,788.0,active
CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,290.0,active
CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,3700.0,intermediate
CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,10000.0,inactive
CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,10000.0,inactive
CHEMBL534479,CCOC(=O)C(c1ccccc1)C1CCCCN1.Cl,480.0,active
CHEMBL534479,CCOC(=O)C(c1ccccc1)C1CCCCN1.Cl,7200.0,intermediate
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,462.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,2990.0,intermediate
CHEMBL668,CNCCCC1c2ccccc2C=Cc2ccccc21,1.1,active
CHEMBL365183,CN(C)CC1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,22.0,active
CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,25.0,active
CHEMBL382955,CN1C2CCC1CC(O)(C1c3ccccc3-c3ccccc31)C2,158000.0,inactive
CHEMBL371726,CN1C2C=C(c3c[nH]c4ccccc34)CC1CC2,3956.0,intermediate
CHEMBL197913,CN1C2C=C(c3cccc(-c4ccccc4)c3)CC1CC2,23000.0,inactive
CHEMBL370158,C[N+]1(CCl)C2C=C(c3ccccc3-c3ccccc3)CC1CC2,2020.0,intermediate
CHEMBL381046,CN1C2C=C(c3ccccc3-c3ccccc3)CC1CC2,6430.0,intermediate
CHEMBL201223,CN1C2C=C(C3c4ccccc4-c4ccccc43)CC1CC2,82700.0,inactive
CHEMBL381045,CN1C2C=C(c3ccc4c(c3)Cc3ccccc3-4)CC1CC2,3360.0,intermediate
CHEMBL426659,CN1C2CCC1CC(O)(c1cccc(-c3ccccc3)c1)C2,41500.0,inactive
CHEMBL200473,CN1C2CCC1CC(O)(c1ccccc1-c1ccccc1)C2,66300.0,inactive
CHEMBL199598,CN1C2CCC1CC(O)(C1c3ccccc3-c3ccc(Br)cc31)C2,62600.0,inactive
CHEMBL1237044,COc1cccc(C2(O)CCCCC2CN(C)C)c1,790.0,active
CHEMBL379021,[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H])c1,2000.0,intermediate
CHEMBL201556,[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c1cccc(O)c1)C([2H])([2H])[2H],6700.0,intermediate
CHEMBL438627,[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c1cccc(OC)c1)C([2H])([2H])[2H],3200.0,intermediate
CHEMBL201531,[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,3600.0,intermediate
CHEMBL1400,CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(O)c1,10000.0,inactive
CHEMBL201960,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,28.3,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,378.0,active
CHEMBL204288,CCCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCCC1,800.0,active
CHEMBL205028,CCCCNC(CCC)C(=O)c1ccc(Cl)c(Cl)c1,2520.0,intermediate
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,350.0,active
CHEMBL202348,C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,24.9,active
CHEMBL202410,C=CCC(C(=O)c1ccc(C)cc1)N1CCCC1,88.0,active
CHEMBL202409,Cc1ccc(C(=O)C(CC(C)C)N2CCCC2)cc1,18.0,active
CHEMBL201978,CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,18.5,active
CHEMBL369997,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,263.0,active
CHEMBL201976,CCCC(C(=O)c1ccc(-c2ccco2)cc1)N1CCCC1,93.0,active
CHEMBL202846,CCCC(C(=O)c1ccc(O)c(O)c1)N1CCCC1,7.6,active
CHEMBL203488,CCCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,21.0,active
CHEMBL204759,CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,11.7,active
CHEMBL204254,CCCC(C(=O)c1cccc(C)c1)N1CCCC1,9.4,active
CHEMBL203403,CCCC(C(=O)c1ccccc1C)N1CCCC1,19.7,active
CHEMBL204538,CC#Cc1ccc(C(=O)C(CCC)N2CCCC2)cc1,19.3,active
CHEMBL379679,CCCC(C(=O)c1ccc(NC(C)=O)cc1)N1CCCC1,317.0,active
CHEMBL201666,CCCC(C(=O)c1ccc(C(=O)OC)cc1)N1CCCC1,22.8,active
CHEMBL381127,CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,235.0,active
CHEMBL379446,CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,531.0,active
CHEMBL203563,CCCC(C(=O)c1ccc(O)cc1)N1CCCC1,86.7,active
CHEMBL203562,CCCC(C(=O)c1ccc(CO)cc1)N1CCCC1,12.4,active
CHEMBL426304,CCCC(C(=O)c1cccc(I)c1)N1CCCC1,81.0,active
CHEMBL202479,CCCC(C(=O)c1ccc(I)cc1)N1CCCC1,46.5,active
CHEMBL202420,CCCC(C(=O)c1ccc(Br)cc1)N1CCCC1,83.0,active
CHEMBL203640,CCCC(C(=O)c1ccc(F)cc1)N1CCCC1,171.0,active
CHEMBL205082,CCCC(C(=O)c1ccccc1)N1CCCC1,56.0,active
CHEMBL372312,CCC[C@@H](C(=O)c1ccc(C)cc1)N1CCCC1,11.3,active
CHEMBL22183,Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL383422,Cc1ccc(Nc2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL204199,Cc1ccc(Oc2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL203821,Cc1ccc([S+]([O-])c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL381914,Cc1ccc(S(=O)(=O)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL202913,Cc1ccc(N)c(-c2ccccc2CN(C)C)c1,100.0,active
CHEMBL202811,Cc1ccc(C(=O)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL206608,COC(c1ccc(C)cc1N)c1ccccc1CN(C)C,100.0,active
CHEMBL204591,Cc1ccc(C(O)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL205313,Cc1ccc(N(c2ccccc2)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL381071,Cc1ccc(N(Cc2ccccc2)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL204702,CCN(c1ccc(C)cc1N)c1ccccc1CN(C)C,100.0,active
CHEMBL377714,Cc1ccc(N(C)c2ccccc2CN(C)C)c(N)c1,100.0,active
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,825.0,active
CHEMBL204323,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,310.0,active
CHEMBL383706,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,770.0,active
CHEMBL202810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21,450.0,active
CHEMBL206211,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(C)(=O)=O)cc21,2100.0,intermediate
CHEMBL382810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21,2000.0,intermediate
CHEMBL206598,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CNS(C)(=O)=O)cc21,960.0,active
CHEMBL381792,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(NS(C)(=O)=O)cc21,60.0,active
CHEMBL203674,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21,920.0,active
CHEMBL380523,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,270.0,active
CHEMBL378379,CNC(=O)c1ccc2c(c1)[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,440.0,active
CHEMBL438257,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,410.0,active
CHEMBL411693,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21,2900.0,intermediate
CHEMBL203741,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,3200.0,intermediate
CHEMBL378804,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,9600.0,intermediate
CHEMBL380758,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,1250.0,intermediate
CHEMBL206404,CNC(=O)c1cccc2c1[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,1500.0,intermediate
CHEMBL205837,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cccc(C(N)=O)c21,1150.0,intermediate
CHEMBL204005,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cccc(C(=O)O)c21,880.0,active
CHEMBL381315,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,9100.0,intermediate
CHEMBL202907,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)c(NS(C)(=O)=O)cc21,2100.0,intermediate
CHEMBL202910,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21,20300.0,inactive
CHEMBL205505,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,11500.0,inactive
CHEMBL206599,CNC(=O)c1ccc2c(c1)[C@H](c1ccc(Cl)c(Cl)c1)CC[C@@H]2NC,5000.0,intermediate
CHEMBL383081,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21,1100.0,intermediate
CHEMBL203453,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21,4200.0,intermediate
CHEMBL382241,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,1800.0,intermediate
CHEMBL204285,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21,2100.0,intermediate
CHEMBL381754,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NCCO)cc21,540.0,active
CHEMBL206697,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,980.0,active
